,train,val,lr
366,-2.7376106572774006e-06,-2.8461332e-06,[0.0009985317272524893]
367,-2.7616771376415272e-06,-2.603282e-06,[0.0009985236968993061]
368,-2.781043963295815e-06,-2.5980405e-06,[0.0009985156446784267]
369,-2.7760413104260808e-06,-2.8273723e-06,[0.000998507570590204]
370,-2.72481245247036e-06,-2.7689005e-06,[0.0009984994746349927]
371,-2.7689631224347976e-06,-2.578708e-06,[0.0009984913568131476]
372,-2.7560790158531743e-06,-2.7610104e-06,[0.0009984832171250249]
373,-2.767567252703884e-06,-2.827445e-06,[0.0009984750555709816]
374,-2.742413539635891e-06,-2.831925e-06,[0.0009984668721513756]
375,-2.713667322495894e-06,-2.5830466e-06,[0.000998458666866566]
376,-2.7666408186632907e-06,-2.8639374e-06,[0.0009984504397169125]
377,-2.839137232513167e-06,-2.747258e-06,[0.0009984421907027763]
378,-2.765918179647997e-06,-2.6383136e-06,[0.000998433919824519]
379,-2.743265326898836e-06,-2.6897678e-06,[0.0009984256270825036]
380,-2.7295071049593387e-06,-2.827074e-06,[0.0009984173124770938]
381,-2.7646516855384105e-06,-2.7065687e-06,[0.0009984089760086544]
382,-2.805612143674807e-06,-2.548625e-06,[0.000998400617677551]
383,-2.799273352138698e-06,-2.746399e-06,[0.0009983922374841503]
384,-2.7571418058869313e-06,-2.9034177e-06,[0.0009983838354288197]
385,-2.778569182737556e-06,-2.5855143e-06,[0.0009983754115119277]
386,-2.7901498697247008e-06,-2.7061424e-06,[0.0009983669657338441]
