,train,val,lr
299,-1.4398269831872312e-05,-1.1743507e-05,[0.0009977957402360791]
300,-1.3895992833568015e-05,-1.3958138e-05,[0.0009977809823015409]
301,-1.3837469759891974e-05,-1.439262e-05,[0.0009977661752379892]
302,-1.398985159539734e-05,-1.322729e-05,[0.0009977513190468858]
303,-1.3800522901874502e-05,-1.3722521e-05,[0.0009977364137296965]
304,-1.38448953293846e-05,-1.3847318e-05,[0.0009977214592878925]
305,-1.3745577143708943e-05,-1.40470265e-05,[0.00099770645572295]
306,-1.386622088830336e-05,-1.4134483e-05,[0.0009976914030363493]
307,-1.4456865301326616e-05,-1.4589703e-05,[0.000997676301229577]
308,-1.4531741180690006e-05,-1.4463019e-05,[0.0009976611503041226]
309,-1.4388832187250956e-05,-1.331596e-05,[0.000997645950261482]
310,-1.3846172532794298e-05,-1.2899464e-05,[0.0009976307011031551]
311,-1.3438747191685253e-05,-1.42403405e-05,[0.000997615402830647]
312,-1.382125201416784e-05,-1.4446733e-05,[0.0009976000554454676]
313,-1.3281622341310139e-05,-1.1357673e-05,[0.0009975846589491317]
314,-1.3553006738220574e-05,-1.4006644e-05,[0.0009975692133431587]
315,-1.4142741747491527e-05,-1.4087197e-05,[0.0009975537186290731]
316,-1.3894632775190986e-05,-1.45304675e-05,[0.0009975381748084042]
317,-1.4168099914968479e-05,-1.2851638e-05,[0.0009975225818826862]
318,-1.4360703153215581e-05,-1.4846351e-05,[0.000997506939853458]
319,-1.4222829213395016e-05,-1.3889077e-05,[0.0009974912487222634]
320,-1.4285568704508478e-05,-1.3906915e-05,[0.0009974755084906511]
321,-1.4088390344113577e-05,-1.3824056e-05,[0.0009974597191601744]
322,-1.4582051426259568e-05,-1.2908349e-05,[0.0009974438807323917]
323,-1.3970939380669734e-05,-1.3469376e-05,[0.0009974279932088662]
324,-1.3541222779167584e-05,-1.3495779e-05,[0.0009974120565911663]
325,-1.4390272735909092e-05,-1.3769206e-05,[0.0009973960708808643]
326,-1.4314199961518171e-05,-1.4665904e-05,[0.0009973800360795382]
327,-1.4569811628462049e-05,-1.4833948e-05,[0.0009973639521887706]
328,-1.3855715587851592e-05,-1.2895032e-05,[0.000997347819210149]
329,-1.36216840473935e-05,-1.39529375e-05,[0.0009973316371452655]
330,-1.4209181699698092e-05,-1.3904252e-05,[0.0009973154059957172]
331,-1.4300819384516216e-05,-1.499758e-05,[0.0009972991257631062]
332,-1.4523203026328701e-05,-1.4450966e-05,[0.000997282796449039]
333,-1.4692633430968272e-05,-1.4047335e-05,[0.0009972664180551277]
334,-1.452814731237595e-05,-1.4442498e-05,[0.0009972499905829884]
335,-1.4553332130162744e-05,-1.3974767e-05,[0.0009972335140342424]
336,-1.4563877721229801e-05,-1.4450582e-05,[0.0009972169884105164]
337,-1.4423469110624865e-05,-1.3968351e-05,[0.0009972004137134406]
338,-1.5004509077698457e-05,-1.4932591e-05,[0.0009971837899446516]
339,-1.4297495090431766e-05,-1.4349233e-05,[0.0009971671171057897]
340,-1.4823500350757968e-05,-1.4759011e-05,[0.0009971503951985005]
341,-1.4377378465724178e-05,-1.40310285e-05,[0.0009971336242244344]
