,train,val,lr
131,-6.902160248500877e-06,-7.052683e-06,[0.0009995766290583287]
132,-6.8222264417272525e-06,-7.1172944e-06,[0.0009995701416391503]
133,-6.744903748767683e-06,-6.5390486e-06,[0.0009995636049143757]
134,-6.731527992087649e-06,-6.7828696e-06,[0.0009995570188846498]
135,-6.880174805701245e-06,-6.741993e-06,[0.000999550383550623]
136,-6.911301215950516e-06,-6.8614563e-06,[0.00099954369891295]
137,-6.550069429067662e-06,-6.3544167e-06,[0.0009995369649722903]
138,-6.590587827304262e-06,-6.8363856e-06,[0.000999530181729309]
139,-6.770356321794679e-06,-6.904186e-06,[0.0009995233491846749]
140,-6.864693978059222e-06,-6.343893e-06,[0.0009995164673390628]
141,-6.857278913230403e-06,-6.7186525e-06,[0.0009995095361931521]
142,-6.736517843819456e-06,-6.7180526e-06,[0.0009995025557476265]
143,-6.7914377268607495e-06,-7.091478e-06,[0.000999495526003175]
144,-6.976853819651297e-06,-7.127972e-06,[0.0009994884469604916]
145,-6.729682354489341e-06,-7.129748e-06,[0.000999481318620275]
146,-6.794457476644311e-06,-7.021182e-06,[0.0009994741409832283]
147,-6.850392628621193e-06,-6.633099e-06,[0.0009994669140500605]
148,-6.940209186723223e-06,-6.3536777e-06,[0.0009994596378214845]
149,-6.796939533160184e-06,-6.417051e-06,[0.0009994523122982184]
150,-6.901258393554599e-06,-7.1083814e-06,[0.0009994449374809856]
151,-6.739080936313257e-06,-6.0498855e-06,[0.0009994375133705134]
152,-6.651570174653898e-06,-6.1661913e-06,[0.0009994300399675346]
153,-6.850277122794068e-06,-6.8565605e-06,[0.0009994225172727873]
154,-6.864209990453674e-06,-6.4001274e-06,[0.0009994149452870135]
155,-6.74305260872643e-06,-6.5027684e-06,[0.0009994073240109608]
156,-6.817713665441261e-06,-7.1856057e-06,[0.0009993996534453813]
157,-6.846438054708415e-06,-7.048378e-06,[0.000999391933591032]
158,-6.678675117655075e-06,-6.673543e-06,[0.0009993841644486748]
159,-6.912018397997599e-06,-6.1076116e-06,[0.0009993763460190764]
160,-6.907067836436909e-06,-6.5898603e-06,[0.0009993684783030088]
161,-6.956326160434401e-06,-7.0425576e-06,[0.0009993605613012482]
162,-6.898909396113595e-06,-6.566094e-06,[0.0009993525950145762]
163,-6.901747110532597e-06,-7.0817005e-06,[0.0009993445794437789]
164,-6.88288359924627e-06,-7.1507757e-06,[0.0009993365145896473]
165,-6.873632901260862e-06,-7.1240142e-06,[0.0009993284004529775]
166,-6.710128855047515e-06,-6.6802827e-06,[0.0009993202370345705]
167,-6.551564365508966e-06,-6.0909515e-06,[0.0009993120243352316]
168,-6.57818554827827e-06,-6.915363e-06,[0.0009993037623557716]
169,-6.6963641074835324e-06,-7.1260047e-06,[0.000999295451097006]
170,-6.686271126454812e-06,-6.8703216e-06,[0.000999287090559755]
171,-6.7797339852404544e-06,-6.5876548e-06,[0.0009992786807448437]
172,-6.8911983817088185e-06,-6.859961e-06,[0.0009992702216531021]
173,-6.909164949320257e-06,-6.463795e-06,[0.0009992617132853652]
174,-6.984754418226658e-06,-6.2028557e-06,[0.0009992531556424727]
175,-7.083518403305788e-06,-7.040739e-06,[0.0009992445487252693]
176,-6.710681373078842e-06,-6.7417195e-06,[0.0009992358925346042]
177,-6.814017115175375e-06,-6.359224e-06,[0.0009992271870713318]
178,-6.944800225028302e-06,-6.749707e-06,[0.0009992184323363116]
179,-7.036267561488785e-06,-6.683199e-06,[0.0009992096283304073]
180,-6.899841582708177e-06,-6.878399e-06,[0.000999200775054488]
181,-6.936993941053515e-06,-6.766899e-06,[0.0009991918725094273]
182,-7.014525590420817e-06,-7.2486414e-06,[0.0009991829206961041]
183,-6.840095693405601e-06,-6.699007e-06,[0.0009991739196154017]
184,-6.992585394982598e-06,-6.8114123e-06,[0.0009991648692682087]
185,-6.886478922751849e-06,-6.4911333e-06,[0.000999155769655418]
186,-6.824150341344648e-06,-6.9331936e-06,[0.0009991466207779282]
187,-6.929726669113734e-06,-7.0145957e-06,[0.0009991374226366416]
188,-6.90537804075575e-06,-6.1033547e-06,[0.0009991281752324667]
189,-6.7658734678843755e-06,-7.1808427e-06,[0.0009991188785663156]
190,-6.886937899253098e-06,-7.176444e-06,[0.0009991095326391064]
191,-7.001749099799781e-06,-6.8220866e-06,[0.000999100137451761]
192,-6.992256157900556e-06,-7.021482e-06,[0.0009990906930052068]
193,-7.043770710879471e-06,-6.4814344e-06,[0.000999081199300376]
194,-6.986483094806318e-06,-7.2874395e-06,[0.0009990716563382058]
195,-6.897156708873808e-06,-6.299246e-06,[0.0009990620641196378]
196,-7.010191984591074e-06,-6.874263e-06,[0.0009990524226456186]
197,-6.993939177846187e-06,-7.043321e-06,[0.0009990427319171002]
198,-6.992933049332351e-06,-7.417525e-06,[0.0009990329919350386]
199,-7.0166714976949155e-06,-6.615315e-06,[0.0009990232027003952]
200,-6.945891300347284e-06,-6.963372e-06,[0.0009990133642141363]
201,-7.060335019559716e-06,-6.7928536e-06,[0.0009990034764772327]
202,-6.989198664086871e-06,-6.6608636e-06,[0.0009989935394906606]
203,-6.764719773855177e-06,-6.6212174e-06,[0.0009989835532554004]
204,-6.8346657371876065e-06,-6.3545494e-06,[0.000998973517772438]
205,-6.81874716974562e-06,-6.944552e-06,[0.0009989634330427638]
206,-6.9351855472632454e-06,-6.911637e-06,[0.0009989532990673732]
207,-6.849047940704622e-06,-7.1780637e-06,[0.000998943115847266]
208,-7.080093882905203e-06,-7.1230843e-06,[0.0009989328833834475]
209,-7.0593857344647406e-06,-6.865046e-06,[0.0009989226016769276]
210,-6.921648855495733e-06,-7.169029e-06,[0.0009989122707287211]
211,-6.941809670024668e-06,-7.1269337e-06,[0.0009989018905398475]
212,-6.875241206216743e-06,-6.8633226e-06,[0.0009988914611113314]
213,-6.999951756370137e-06,-7.0510214e-06,[0.0009988809824442021]
214,-6.964949943721877e-06,-7.041205e-06,[0.000998870454539494]
215,-6.898759784235153e-06,-7.2473963e-06,[0.0009988598773982458]
216,-7.0768930527265185e-06,-6.799562e-06,[0.0009988492510215015]
217,-7.051813327052514e-06,-6.9269013e-06,[0.0009988385754103103]
218,-7.092350551829441e-06,-6.9101256e-06,[0.0009988278505657251]
219,-6.885353423058405e-06,-6.7617384e-06,[0.000998817076488805]
220,-6.956755214559962e-06,-6.7676424e-06,[0.000998806253180613]
221,-6.923826776983333e-06,-6.819686e-06,[0.0009987953806422176]
222,-6.738362480973592e-06,-6.567239e-06,[0.0009987844588746919]
223,-6.912506614753511e-06,-6.871846e-06,[0.0009987734878791135]
224,-6.938314118087874e-06,-7.221086e-06,[0.0009987624676565656]
225,-7.055691685309284e-06,-7.2391135e-06,[0.0009987513982081355]
226,-7.1477766596217405e-06,-6.826496e-06,[0.0009987402795349157]
227,-6.928051061549923e-06,-6.8933964e-06,[0.000998729111638004]
228,-7.079733086357009e-06,-7.0896303e-06,[0.0009987178945185021]
229,-6.970501817704644e-06,-6.987363e-06,[0.0009987066281775174]
230,-6.899722029629629e-06,-6.448069e-06,[0.0009986953126161619]
231,-6.885310176585335e-06,-6.952564e-06,[0.0009986839478355522]
232,-6.9430489020305686e-06,-7.415648e-06,[0.0009986725338368102]
233,-7.06493619873072e-06,-7.0369106e-06,[0.0009986610706210622]
234,-7.147965243348154e-06,-6.9336907e-06,[0.0009986495581894397]
235,-7.109223588486202e-06,-6.746101e-06,[0.0009986379965430787]
236,-7.027036417639465e-06,-6.6692514e-06,[0.0009986263856831205]
237,-6.951030854907003e-06,-7.1100785e-06,[0.0009986147256107112]
238,-7.065944691930781e-06,-7.184646e-06,[0.0009986030163270012]
239,-7.211831371023436e-06,-6.8785785e-06,[0.0009985912578331464]
240,-7.048543966448051e-06,-7.365714e-06,[0.0009985794501303072]
241,-6.935538203833858e-06,-6.3854454e-06,[0.0009985675932196493]
242,-6.877103942315443e-06,-6.914699e-06,[0.0009985556871023424]
243,-6.658837673967355e-06,-7.1379227e-06,[0.000998543731779562]
244,-6.894496664244798e-06,-6.9753614e-06,[0.000998531727252488]
245,-7.044902849884238e-06,-7.5361654e-06,[0.000998519673522305]
246,-7.294104671018431e-06,-6.6368934e-06,[0.0009985075705902027]
247,-7.2300259034818735e-06,-6.6792395e-06,[0.0009984954184573758]
248,-7.0634254825563405e-06,-6.1807436e-06,[0.0009984832171250234]
249,-6.829467747593299e-06,-6.7694887e-06,[0.00099847096659435]
250,-6.907046235937742e-06,-6.830104e-06,[0.0009984586668665646]
251,-7.081361718519474e-06,-7.100222e-06,[0.000998446317942881]
252,-7.01900289641344e-06,-6.59282e-06,[0.000998433919824518]
253,-6.895997967149015e-06,-7.201457e-06,[0.0009984214725126993]
254,-7.075749726936919e-06,-7.117856e-06,[0.0009984089760086536]
255,-7.140141997297178e-06,-7.2967705e-06,[0.0009983964303136139]
256,-7.1880169343785385e-06,-6.916164e-06,[0.0009983838354288186]
257,-6.97633008712728e-06,-7.20057e-06,[0.0009983711913555107]
258,-7.226482284750091e-06,-7.3008932e-06,[0.0009983584980949383]
259,-7.050678823361522e-06,-6.909435e-06,[0.0009983457556483539]
260,-6.961041935937828e-06,-7.0186384e-06,[0.0009983329640170153]
261,-7.023953003226779e-06,-6.4641536e-06,[0.000998320123202185]
262,-7.060554162308108e-06,-7.02617e-06,[0.0009983072332051303]
263,-7.030982078504166e-06,-6.671272e-06,[0.0009982942940271234]
264,-7.006698615441564e-06,-6.509128e-06,[0.0009982813056694415]
265,-7.060036978145945e-06,-7.041065e-06,[0.0009982682681333663]
266,-6.976247732382035e-06,-7.1480285e-06,[0.0009982551814201844]
267,-7.3365231855859745e-06,-7.2377397e-06,[0.0009982420455311876]
268,-7.130772746677394e-06,-7.0932088e-06,[0.0009982288604676725]
269,-7.032506437099073e-06,-7.407662e-06,[0.0009982156262309401]
270,-7.1461322477262e-06,-7.18348e-06,[0.0009982023428222967]
271,-7.1329589445667805e-06,-7.1298205e-06,[0.0009981890102430536]
272,-7.165009719756199e-06,-7.053813e-06,[0.0009981756284945262]
273,-7.166316800066852e-06,-7.209296e-06,[0.0009981621975780355]
274,-7.111792683645035e-06,-6.9942816e-06,[0.000998148717494907]
275,-7.150198098315741e-06,-7.291384e-06,[0.0009981351882464712]
276,-7.19254267096403e-06,-7.0195806e-06,[0.0009981216098340633]
277,-7.2168289989349436e-06,-7.2476073e-06,[0.0009981079822590235]
278,-7.09759574419877e-06,-7.537956e-06,[0.000998094305522697]
