,train,val,lr
213,-5.538476261790492e-06,-4.06866e-06,[0.0009988809824442021]
214,-5.533982948691118e-06,-5.235446e-06,[0.000998870454539494]
215,-5.60451703677245e-06,-5.41886e-06,[0.0009988598773982458]
216,-5.61153783564805e-06,-5.356096e-06,[0.0009988492510215015]
217,-5.6161891734518575e-06,-5.2387763e-06,[0.0009988385754103103]
218,-5.630868190564797e-06,-5.5996566e-06,[0.0009988278505657251]
219,-5.474363297253148e-06,-4.9886316e-06,[0.000998817076488805]
220,-5.558665861826739e-06,-5.6387057e-06,[0.000998806253180613]
221,-5.7169315368810205e-06,-5.2828364e-06,[0.0009987953806422176]
222,-5.543629504245473e-06,-5.556074e-06,[0.0009987844588746919]
223,-5.5104575494624445e-06,-5.6647677e-06,[0.0009987734878791135]
224,-5.717755266232416e-06,-5.3599847e-06,[0.0009987624676565656]
225,-5.6748764109215696e-06,-5.6600147e-06,[0.0009987513982081355]
226,-5.530979478862719e-06,-4.5474535e-06,[0.0009987402795349157]
227,-5.684131474481547e-06,-5.076762e-06,[0.000998729111638004]
228,-5.646738054565504e-06,-5.0357285e-06,[0.0009987178945185021]
229,-5.601556904366589e-06,-4.7879576e-06,[0.0009987066281775174]
230,-5.588510748566477e-06,-5.8101386e-06,[0.0009986953126161619]
231,-5.517218232853338e-06,-5.4717307e-06,[0.0009986839478355522]
232,-5.720195849789888e-06,-4.5685774e-06,[0.0009986725338368102]
233,-5.627094378723996e-06,-5.366926e-06,[0.0009986610706210622]
234,-5.444770931717358e-06,-5.17536e-06,[0.0009986495581894397]
235,-5.689896988769761e-06,-5.1218776e-06,[0.0009986379965430787]
236,-5.4727308906876715e-06,-5.7769494e-06,[0.0009986263856831205]
237,-5.55693727619655e-06,-5.086354e-06,[0.0009986147256107112]
238,-5.621378704745439e-06,-5.1652237e-06,[0.0009986030163270012]
239,-5.667990126312361e-06,-5.1240504e-06,[0.0009985912578331464]
240,-5.582057929132133e-06,-4.4304898e-06,[0.0009985794501303072]
241,-5.670805239788024e-06,-5.4123125e-06,[0.0009985675932196493]
242,-5.679258265445242e-06,-5.1373786e-06,[0.0009985556871023424]
