,train,val,lr
156,-2.5699953994262616e-06,-2.5944923e-06,[0.0009997331496367468]
157,-2.568208105913072e-06,-2.4509195e-06,[0.0009997297178222391]
158,-2.55358920639992e-06,-2.6006385e-06,[0.0009997262640871333]
159,-2.5236559167751692e-06,-2.5748245e-06,[0.0009997227884315806]
160,-2.613148535601795e-06,-2.4959718e-06,[0.0009997192908557336]
161,-2.603158145575435e-06,-2.4108886e-06,[0.0009997157713597458]
162,-2.5655489935161315e-06,-2.1855797e-06,[0.0009997122299437715]
163,-2.5673670279502402e-06,-2.5537154e-06,[0.000999708666607966]
164,-2.5912175260600632e-06,-2.637754e-06,[0.0009997050813524858]
165,-2.6213274622932658e-06,-2.51427e-06,[0.000999701474177488]
166,-2.5815284516284008e-06,-2.5007362e-06,[0.000999697845083131]
167,-2.6116851358892744e-06,-2.5867298e-06,[0.0009996941940695735]
168,-2.5975584549087217e-06,-2.5985512e-06,[0.0009996905211369764]
169,-2.636198496475117e-06,-2.5469299e-06,[0.0009996868262855002]
170,-2.6224652401651837e-06,-2.6133553e-06,[0.000999683109515307]
171,-2.6412947136122966e-06,-2.7326241e-06,[0.0009996793708265603]
172,-2.677188763300364e-06,-2.6932428e-06,[0.0009996756102194238]
173,-2.626604418765055e-06,-2.631806e-06,[0.0009996718276940625]
174,-2.6413704290462192e-06,-2.5320167e-06,[0.0009996680232506423]
175,-2.651640352269169e-06,-2.1990904e-06,[0.00099966419688933]
176,-2.6135817051908817e-06,-2.4589624e-06,[0.0009996603486102937]
177,-2.5866060923362967e-06,-2.453127e-06,[0.000999656478413702]
178,-2.6757783871289577e-06,-2.4393653e-06,[0.0009996525862997244]
179,-2.642059780555428e-06,-2.5864156e-06,[0.000999648672268532]
180,-2.6305263872927754e-06,-2.5970298e-06,[0.0009996447363202967]
181,-2.6496440341361447e-06,-2.5818113e-06,[0.0009996407784551907]
182,-2.611848276501405e-06,-2.720517e-06,[0.0009996367986733878]
183,-2.7333413754604408e-06,-2.6572845e-06,[0.0009996327969750626]
184,-2.6183252202827133e-06,-2.519413e-06,[0.0009996287733603905]
185,-2.67188490852277e-06,-2.6886717e-06,[0.000999624727829548]
186,-2.644910659910238e-06,-2.6517334e-06,[0.0009996206603827128]
187,-2.639810827531619e-06,-2.5445713e-06,[0.000999616571020063]
188,-2.607757892292284e-06,-2.3440145e-06,[0.0009996124597417783]
189,-2.6829153966900774e-06,-2.7323501e-06,[0.0009996083265480387]
190,-2.614032928249799e-06,-2.6401888e-06,[0.0009996041714390256]
191,-2.6589033723212195e-06,-2.604562e-06,[0.0009995999944149214]
192,-2.697239142435137e-06,-2.6198404e-06,[0.0009995957954759094]
193,-2.6906316634267567e-06,-2.5726456e-06,[0.0009995915746221736]
194,-2.6530838340477202e-06,-2.5807224e-06,[0.0009995873318538993]
195,-2.608195245556999e-06,-2.5419947e-06,[0.0009995830671712723]
196,-2.64581858573365e-06,-2.6363912e-06,[0.0009995787805744802]
197,-2.6662161872081926e-06,-2.7775513e-06,[0.0009995744720637102]
198,-2.6600743240123847e-06,-2.5637155e-06,[0.000999570141639152]
